Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,107,6,Some Random Commen with Id 0
1,0,3,61,3,Some Random Commen with Id 1
2,0,3,116,8,Some Random Commen with Id 2
3,0,3,74,8,Some Random Commen with Id 3
4,0,3,182,9,Some Random Commen with Id 4
5,0,3,97,7,Some Random Commen with Id 5
6,0,3,1,6,Some Random Commen with Id 6
7,0,3,68,4,Some Random Commen with Id 7
8,1,6,190,4,Some Random Commen with Id 8
9,1,6,3,2,Some Random Commen with Id 9
10,1,6,33,0,Some Random Commen with Id 10
11,1,6,75,0,Some Random Commen with Id 11
12,2,0,16,5,Some Random Commen with Id 12
13,2,0,183,5,Some Random Commen with Id 13
14,2,0,136,8,Some Random Commen with Id 14
15,2,0,152,0,Some Random Commen with Id 15
16,2,0,126,7,Some Random Commen with Id 16
17,2,0,91,2,Some Random Commen with Id 17
18,2,0,50,9,Some Random Commen with Id 18
19,4,0,103,3,Some Random Commen with Id 19
20,4,0,100,4,Some Random Commen with Id 20
21,5,7,94,4,Some Random Commen with Id 21
22,6,6,172,6,Some Random Commen with Id 22
23,6,6,21,3,Some Random Commen with Id 23
24,6,6,24,0,Some Random Commen with Id 24
25,6,6,120,6,Some Random Commen with Id 25
26,6,6,176,9,Some Random Commen with Id 26
27,6,6,56,2,Some Random Commen with Id 27
28,6,6,49,2,Some Random Commen with Id 28
29,7,5,130,2,Some Random Commen with Id 29
30,7,5,128,2,Some Random Commen with Id 30
31,8,7,184,9,Some Random Commen with Id 31
32,9,4,63,7,Some Random Commen with Id 32
33,10,2,127,6,Some Random Commen with Id 33
34,10,2,36,5,Some Random Commen with Id 34
35,10,2,136,7,Some Random Commen with Id 35
36,10,2,100,3,Some Random Commen with Id 36
37,10,2,50,5,Some Random Commen with Id 37
38,10,2,128,7,Some Random Commen with Id 38
39,11,1,40,5,Some Random Commen with Id 39
40,11,1,161,2,Some Random Commen with Id 40
41,11,1,51,2,Some Random Commen with Id 41
42,11,1,153,3,Some Random Commen with Id 42
43,11,1,154,2,Some Random Commen with Id 43
44,11,1,164,0,Some Random Commen with Id 44
45,12,6,178,2,Some Random Commen with Id 45
46,13,5,189,3,Some Random Commen with Id 46
47,14,7,95,1,Some Random Commen with Id 47
48,14,7,95,5,Some Random Commen with Id 48
49,14,7,185,1,Some Random Commen with Id 49
50,14,7,21,4,Some Random Commen with Id 50
51,14,7,6,8,Some Random Commen with Id 51
52,15,6,7,6,Some Random Commen with Id 52
53,15,6,184,1,Some Random Commen with Id 53
54,15,6,103,0,Some Random Commen with Id 54
55,15,6,66,9,Some Random Commen with Id 55
56,15,6,6,5,Some Random Commen with Id 56
57,16,5,116,0,Some Random Commen with Id 57
58,16,5,146,1,Some Random Commen with Id 58
59,16,5,35,6,Some Random Commen with Id 59
60,16,5,160,7,Some Random Commen with Id 60
61,16,5,182,0,Some Random Commen with Id 61
62,16,5,117,3,Some Random Commen with Id 62
63,16,5,88,8,Some Random Commen with Id 63
64,16,5,169,4,Some Random Commen with Id 64
65,17,7,139,7,Some Random Commen with Id 65
66,18,8,111,6,Some Random Commen with Id 66
67,18,8,184,0,Some Random Commen with Id 67
68,18,8,144,9,Some Random Commen with Id 68
69,18,8,115,5,Some Random Commen with Id 69
70,19,9,8,5,Some Random Commen with Id 70
71,19,9,189,3,Some Random Commen with Id 71
72,19,9,76,3,Some Random Commen with Id 72
73,19,9,29,7,Some Random Commen with Id 73
74,19,9,122,4,Some Random Commen with Id 74
75,19,9,106,9,Some Random Commen with Id 75
76,20,4,176,0,Some Random Commen with Id 76
77,20,4,153,0,Some Random Commen with Id 77
78,20,4,87,5,Some Random Commen with Id 78
79,21,4,138,3,Some Random Commen with Id 79
80,21,4,47,9,Some Random Commen with Id 80
81,21,4,14,7,Some Random Commen with Id 81
82,21,4,79,8,Some Random Commen with Id 82
83,21,4,118,8,Some Random Commen with Id 83
84,22,0,43,6,Some Random Commen with Id 84
85,22,0,189,1,Some Random Commen with Id 85
86,22,0,152,5,Some Random Commen with Id 86
87,22,0,93,4,Some Random Commen with Id 87
88,22,0,83,8,Some Random Commen with Id 88
89,22,0,16,7,Some Random Commen with Id 89
90,22,0,120,5,Some Random Commen with Id 90
91,22,0,190,6,Some Random Commen with Id 91
92,23,0,144,1,Some Random Commen with Id 92
93,23,0,6,0,Some Random Commen with Id 93
94,23,0,8,0,Some Random Commen with Id 94
95,23,0,170,9,Some Random Commen with Id 95
96,23,0,13,5,Some Random Commen with Id 96
97,23,0,191,9,Some Random Commen with Id 97
98,23,0,107,5,Some Random Commen with Id 98
99,23,0,119,1,Some Random Commen with Id 99
100,24,3,110,2,Some Random Commen with Id 100
101,24,3,188,7,Some Random Commen with Id 101
102,24,3,91,3,Some Random Commen with Id 102
103,24,3,33,0,Some Random Commen with Id 103
104,25,3,144,0,Some Random Commen with Id 104
105,25,3,176,9,Some Random Commen with Id 105
106,25,3,140,0,Some Random Commen with Id 106
107,25,3,103,2,Some Random Commen with Id 107
108,26,5,119,0,Some Random Commen with Id 108
109,26,5,154,9,Some Random Commen with Id 109
110,26,5,77,1,Some Random Commen with Id 110
111,26,5,153,7,Some Random Commen with Id 111
112,27,5,61,8,Some Random Commen with Id 112
113,27,5,179,4,Some Random Commen with Id 113
114,27,5,84,3,Some Random Commen with Id 114
115,27,5,63,5,Some Random Commen with Id 115
116,27,5,35,2,Some Random Commen with Id 116
117,27,5,78,3,Some Random Commen with Id 117
118,28,9,125,9,Some Random Commen with Id 118
119,28,9,73,0,Some Random Commen with Id 119
120,28,9,49,5,Some Random Commen with Id 120
121,28,9,199,0,Some Random Commen with Id 121
122,28,9,2,5,Some Random Commen with Id 122
123,28,9,137,8,Some Random Commen with Id 123
124,28,9,118,1,Some Random Commen with Id 124
125,28,9,26,1,Some Random Commen with Id 125
126,28,9,169,9,Some Random Commen with Id 126
127,29,1,18,9,Some Random Commen with Id 127
128,29,1,95,7,Some Random Commen with Id 128
129,29,1,81,4,Some Random Commen with Id 129
130,29,1,49,4,Some Random Commen with Id 130
131,29,1,85,6,Some Random Commen with Id 131
132,30,3,146,2,Some Random Commen with Id 132
133,30,3,188,1,Some Random Commen with Id 133
134,30,3,151,0,Some Random Commen with Id 134
135,30,3,6,5,Some Random Commen with Id 135
136,30,3,30,3,Some Random Commen with Id 136
137,30,3,167,7,Some Random Commen with Id 137
138,31,8,146,4,Some Random Commen with Id 138
139,31,8,120,8,Some Random Commen with Id 139
140,31,8,147,3,Some Random Commen with Id 140
141,31,8,112,7,Some Random Commen with Id 141
142,31,8,10,4,Some Random Commen with Id 142
143,31,8,119,7,Some Random Commen with Id 143
144,31,8,183,3,Some Random Commen with Id 144
145,31,8,196,3,Some Random Commen with Id 145
146,32,8,155,2,Some Random Commen with Id 146
147,33,4,126,5,Some Random Commen with Id 147
148,33,4,111,4,Some Random Commen with Id 148
149,33,4,199,8,Some Random Commen with Id 149
150,33,4,31,4,Some Random Commen with Id 150
151,33,4,100,5,Some Random Commen with Id 151
152,33,4,181,5,Some Random Commen with Id 152
153,33,4,125,9,Some Random Commen with Id 153
154,33,4,86,2,Some Random Commen with Id 154
155,33,4,17,7,Some Random Commen with Id 155
156,34,0,68,1,Some Random Commen with Id 156
157,34,0,114,7,Some Random Commen with Id 157
158,34,0,86,2,Some Random Commen with Id 158
159,34,0,114,7,Some Random Commen with Id 159
160,34,0,77,8,Some Random Commen with Id 160
161,34,0,114,4,Some Random Commen with Id 161
162,34,0,42,2,Some Random Commen with Id 162
163,34,0,94,0,Some Random Commen with Id 163
164,34,0,73,0,Some Random Commen with Id 164
165,35,5,98,6,Some Random Commen with Id 165
166,35,5,151,8,Some Random Commen with Id 166
167,35,5,60,7,Some Random Commen with Id 167
168,35,5,128,7,Some Random Commen with Id 168
169,37,7,93,2,Some Random Commen with Id 169
170,37,7,54,3,Some Random Commen with Id 170
171,37,7,128,8,Some Random Commen with Id 171
172,38,1,43,8,Some Random Commen with Id 172
173,38,1,141,1,Some Random Commen with Id 173
174,38,1,183,7,Some Random Commen with Id 174
175,39,7,89,7,Some Random Commen with Id 175
176,39,7,95,1,Some Random Commen with Id 176
177,39,7,57,3,Some Random Commen with Id 177
178,39,7,125,2,Some Random Commen with Id 178
179,39,7,58,9,Some Random Commen with Id 179
